Order_ID,Date,Region,Product_Category,Sales,Profit,Quantity,Customer_Rating
1001,2025-01-05,North,Electronics,45000.0,9000.0,5.0,4.5
1002,2025-01-06,South,Furniture,25000.0,5000.0,3.0,4.2
1003,2025-01-08,East,Clothing,12000.0,2500.0,8.0,4.0
1004,2025-01-10,West,Electronics,55000.0,12000.0,6.0,4.8
1005,2025-01-11,North,Furniture,,3500.0,2.0,3.9
1006,2025-01-15,South,Clothing,15000.0,,7.0,4.1
1007,2025-01-18,East,Electronics,62000.0,15000.0,4.0,4.9
1008,2025-01-20,West,Furniture,22000.0,4200.0,,4.0
1009,2025-01-22,North,Clothing,13000.0,2600.0,9.0,
1010,2025-01-25,South,Electronics,70000.0,18000.0,7.0,5.0
1011,2025-01-27,East,Furniture,28000.0,6000.0,4.0,4.3
1012,2025-01-30,West,Clothing,17000.0,3200.0,6.0,4.2
1013,2025-02-02,North,Electronics,48000.0,10000.0,5.0,4.6
1014,2025-02-05,South,,26000.0,5200.0,3.0,4.1
1015,2025-02-08,East,Clothing,11000.0,2000.0,8.0,3.7
1016,2025-02-10,West,Electronics,58000.0,13000.0,5.0,4.7
1017,2025-02-12,North,Furniture,19000.0,3700.0,2.0,4.0
1018,2025-02-15,South,Clothing,14000.0,2700.0,7.0,4.2
1019,2025-02-18,East,Electronics,250000.0,16000.0,4.0,4.9
1020,2025-02-20,West,Furniture,24000.0,4500.0,3.0,4.1
1020,2025-02-20,West,Furniture,24000.0,4500.0,3.0,4.1
